feature,dtype,missing_share,n_unique
TransactionID,int64,0.0,590540
isFraud,int64,0.0,2
TransactionDT,int64,0.0,573349
TransactionAmt,float64,0.0,20902
ProductCD,object,0.0,5
card1,int64,0.0,13553
card2,float64,0.015126833068039422,501
card3,float64,0.0026501168422122124,115
card4,object,0.00267043722694483,5
card5,float64,0.007212043214684865,120
card6,object,0.0026602770345785214,5
addr1,float64,0.1112642666034477,333
addr2,float64,0.1112642666034477,75
dist1,float64,0.596523520845328,2652
dist2,float64,0.9362837403054831,1752
P_emaildomain,object,0.1599485216920107,60
R_emaildomain,object,0.7675161716395164,61
C1,float64,0.0,1657
C2,float64,0.0,1216
C3,float64,0.0,27
C4,float64,0.0,1260
C5,float64,0.0,319
C6,float64,0.0,1328
C7,float64,0.0,1103
C8,float64,0.0,1253
C9,float64,0.0,205
C10,float64,0.0,1231
C11,float64,0.0,1476
C12,float64,0.0,1199
C13,float64,0.0,1597
C14,float64,0.0,1108
D1,float64,0.0021488806854743116,642
D2,float64,0.4754919226470688,642
D3,float64,0.44514850814508755,650
D4,float64,0.2860466691502693,809
D5,float64,0.524674027161581,689
D6,float64,0.8760676668811597,830
D7,float64,0.9340992989467267,598
D8,float64,0.8731229044603245,12354
D9,float64,0.8731229044603245,25
D10,float64,0.1287330240119213,819
D11,float64,0.47293494090154775,677
D12,float64,0.8904104717715988,636
D13,float64,0.8950926270870728,578
D14,float64,0.8946946862193924,803
D15,float64,0.1509008703898127,860
M1,object,0.4590713584177194,3
M2,object,0.4590713584177194,3
M3,object,0.4590713584177194,3
M4,object,0.47658753005723575,4
M5,object,0.5934940901547736,3
M6,object,0.28678836319300977,3
M7,object,0.5863531682866528,3
M8,object,0.5863311545365258,3
M9,object,0.5863311545365258,3
V1,float64,0.47293494090154775,3
V2,float64,0.47293494090154775,10
V3,float64,0.47293494090154775,11
V4,float64,0.47293494090154775,8
V5,float64,0.47293494090154775,8
V6,float64,0.47293494090154775,11
V7,float64,0.47293494090154775,11
V8,float64,0.47293494090154775,10
V9,float64,0.47293494090154775,10
V10,float64,0.47293494090154775,6
V11,float64,0.47293494090154775,7
V12,float64,0.1288193856470349,5
V13,float64,0.1288193856470349,8
V14,float64,0.1288193856470349,3
V15,float64,0.1288193856470349,9
V16,float64,0.1288193856470349,16
