feature,mean_psi,max_psi,last_month_psi
dist2,0.046254564723121984,0.08890255920673748,0.08890255920673748
TransactionAmt,0.050070996068940186,0.061297877427089045,0.061297877427089045
V9,0.006603693447682014,0.025180865064645754,0.025180865064645754
V3,0.0077038680999996995,0.021764803442394426,0.021764803442394426
V2,0.006957309583117271,0.017227461109350844,0.017227461109350844
V8,0.0056201238696772585,0.016561435572740604,0.016561435572740604
V7,0.004916850959270293,0.015950997813625183,0.015950997813625183
V6,0.00526496784324679,0.013915397477173894,0.013915397477173894
V5,0.0030387769576883834,0.012125773883669345,0.012125773883669345
V4,0.0037387802404539455,0.009740997129871492,0.009740997129871492
card1,0.002426544192738509,0.006395158891112855,0.006395158891112855
V13,0.001235384012210199,0.0061424921596198966,0.0061424921596198966
addr1,0.0024992977963375104,0.00597791240469616,0.00597791240469616
V19,0.0011698175810117039,0.003645540137124535,0.003645540137124535
V20,0.0014112346089702112,0.0031456112775753043,0.0031456112775753043
V12,0.0006421976412264512,0.0028270047550980754,0.0028270047550980754
V25,0.0004349029755239123,0.0007320658761553376,0.0007320658761553376
V26,0.00037772154655172177,0.0004390983069751759,0.000364915497946529
V24,6.019594108884412e-05,0.0002537231815480812,0.0002537231815480812
V23,7.696272711975902e-05,0.00020313811449041222,0.00020313811449041222
V1,0.0,0.0,0.0
V10,0.0,0.0,0.0
V11,0.0,0.0,0.0
V14,0.0,0.0,0.0
V15,0.0,0.0,0.0
V16,0.0,0.0,0.0
V17,0.0,0.0,0.0
V18,0.0,0.0,0.0
V21,0.0,0.0,0.0
V22,0.0,0.0,0.0
